class,E_file,CreationYear,SizeOfInitializedData,DllCharacteristics,MajorImageVersion,CheckSum
0,5.06687532,1999,12800,0,0,0
0,4.471340381,2012,69632,1344,6,114650
0,6.313789574,2010,18432,320,0,84174
1,5.952357963,2009,130048,32768,0,148615
1,5.560997803,2009,79360,0,0,0
1,7.849427477,2004,0,0,0,0
0,3.666294294,2009,7680,1344,6,15147
0,6.788350701,2003,18944,0,6,294739
0,6.418923224,1996,129024,0,0,934007
0,5.90747466,2012,10752,33088,6,184602
0,5.938393077,2012,28672,0,0,109709
1,6.260665399,2011,48128,33792,0,57737
0,6.818801079,2012,306176,33088,6,651047
1,7.053411184,2011,58880,0,0,142826
0,7.918205407,2012,479232,0,0,1236442
0,6.36233025,2012,4096,32768,8,57326
0,5.877531493,2012,2560,34144,0,212074
0,2.845006575,2009,16384,0,0,51427
0,7.081407393,2012,78848,33088,6,131851
0,7.997596874,2005,6144,33792,5,11161271
0,7.963520546,2014,376832,32768,6,8829962
0,6.347586547,2011,22016,0,0,101348
1,7.66280741,2010,85504,1088,0,96993
1,7.528343006,2012,34816,0,0,201868
0,6.340086459,2000,25088,0,0,0
1,7.63842144,2010,84992,1088,0,100979
0,6.35434372,2007,106496,0,5,0
1,7.528716948,2012,8192,0,7,0
1,6.385977094,2009,68096,0,0,0
0,6.766549075,2006,81920,64,0,1384940
1,5.710658049,2004,9216,0,0,30672
1,7.970353712,2012,12288,0,1,57206
0,7.998423855,2009,71680,64,0,38859192
1,7.582367247,2005,99328,0,0,0
0,7.16948617,2011,54784,34112,0,229148
1,6.104384107,2011,7168,32768,0,50308
0,6.655611197,2011,52736,320,0,194622
0,3.640529477,2009,93184,1344,6,102719
0,6.748696024,2006,39424,64,0,243396
0,6.46815073,2009,57344,0,0,208736
1,7.46007564,2011,427008,32768,0,480008
0,5.99588042,2012,13312,33088,6,43226
1,6.006618564,2012,61440,0,0,168889
1,6.934765006,2005,18432,0,0,0
1,7.676346885,2007,1043968,0,0,0
1,6.838386766,2007,17408,33024,1,0
0,6.632891654,2012,253952,33088,6,359224
0,6.206717516,2054,53248,0,0,0
1,6.484511216,2011,48128,33792,0,72712
1,4.449478166,2011,35840,32768,0,130798
1,7.825491794,2011,4096,0,4,0
0,6.820781937,2012,315904,320,0,906621
0,5.761427846,2012,299008,320,6,814880
1,5.245015593,2010,96256,33792,0,145498
1,7.659599572,2010,84480,1088,0,135425
1,6.889979422,2005,38912,0,0,0
1,7.43214895,2012,1028096,0,0,1631506
0,6.105799326,2012,14848,33088,6,83202
0,6.270135353,2010,77824,0,0,262548
1,7.728513534,2002,50688,0,0,0
0,6.764912805,2011,3520512,0,4,10839265
1,6.125771291,2011,34304,34112,0,0
1,6.011525876,2009,86016,0,0,0
1,6.648802193,2011,2560,34112,0,0
0,4.351365466,2009,3072,320,6,62303
0,6.055899497,2012,81920,64,0,198098
0,5.95486422,2008,56320,320,9,281577
0,5.340530517,2012,1536,34112,0,68874
0,5.871881899,2012,271872,0,0,4703414
0,6.447992377,2011,705024,0,4,2569208
1,7.551574774,1992,32768,0,0,0
1,5.571749624,2011,11776,0,0,0
1,7.823114082,2011,181248,33024,0,256321
0,6.907804004,2012,109056,33088,6,203309
0,5.152309986,2010,3584,32768,0,31128
1,6.843401394,1992,29184,0,0,60286
0,5.862414272,2012,20992,33088,6,166655
1,7.247720618,2011,77824,0,0,0
1,5.645958441,2011,102912,33792,0,145817
1,7.620604608,2010,89600,1088,0,155339
0,7.180995069,2005,375296,0,0,650846
0,3.353099026,2009,1024,1344,6,18085
0,6.732857902,2009,164864,320,6,1271096
0,6.824643905,2012,39936,34112,0,0
0,6.945427802,2012,24576,33088,21315,641784
1,6.592265761,2010,88064,33792,0,103522
1,7.856938554,2011,425984,0,1,110970
0,5.704902064,2012,10240,33088,6,69700
1,5.277302277,2010,8192,0,7,87205
0,3.516864753,2010,3151872,33088,0,3738940
1,7.610805989,2010,32768,33088,0,0
1,7.99231363,2011,1838592,0,0,0
1,7.697705143,2005,66560,0,0,0
0,5.795955088,2012,9216,33088,6,47819
0,5.580869497,2012,8192,33088,6,33304
0,6.339127308,2009,100352,0,0,0
0,5.491389106,1999,23552,0,0,98150
0,6.542820065,2009,114688,0,0,0
0,6.667247398,2011,535040,32768,0,1478882
1,6.988033454,2011,45056,0,0,0
0,6.420203323,2007,99328,320,9,737089
1,7.974994299,2011,4096,0,8,0
1,6.892284157,2011,77824,0,0,0
1,6.431470253,2011,47104,33792,0,75034
0,6.447457218,2013,213504,320,6,705751
0,6.536732481,2012,57344,0,0,257841
0,5.139569172,2012,238592,33088,0,330052
0,5.83136999,2012,707072,33088,6,793673
0,6.444169508,2003,36352,0,0,0
0,6.402226514,2012,124928,33088,6,642372
0,7.989878253,2005,9728,33792,5,1364878
0,5.92657487,2012,1536,34112,0,41362
0,5.760550611,2012,13312,33088,6,31896
0,5.658719591,2012,62464,33088,6,148007
0,6.509218536,2009,37888,320,10,358002
0,7.999728762,2010,462848,32768,0,165708839
0,3.062594234,2001,8192,0,0,0
0,6.183306869,2012,34304,33088,6,113471
1,6.966405376,1992,380928,0,0,0
0,6.768436854,2009,372736,33088,6,460751
0,7.055432059,2012,113664,33088,6,160942
1,5.485666191,2008,680448,33088,0,722110
0,6.179292728,2012,13312,33088,6,104827
0,5.368271433,2012,14336,33088,6,72913
0,6.282252594,2010,28672,0,0,0
1,7.90694047,2011,8192,0,5,0
1,6.231690537,2008,36864,33024,0,0
1,6.342261249,1992,552960,0,0,0
